Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Phases	Study Type	Locations	URL
745	NCT04334512	A Study of Quintuple Therapy to Treat COVID-19 Infection	Recruiting	No Results Available	COVID-19|Corona Virus Infection|Coronavirus-19|Sars-CoV2	Drug: Hydroxychloroquine|Drug: Azithromycin|Dietary Supplement: Vitamin C|Dietary Supplement: Vitamin D|Dietary Supplement: Zinc	Phase 2	Interventional	"ProgenaBiome, Ventura, California, United States"	https://ClinicalTrials.gov/show/NCT04334512
746	NCT04335552	"Pragmatic Factorial Trial of Hydroxychloroquine, Azithromycin, or Both for Treatment of Severe SARS-CoV-2 Infection"	Recruiting	No Results Available	SARS-CoV-2	Other: Standard of care|Drug: Hydroxychloroquine|Drug: Azithromycin	Phase 2	Interventional	"Duke Regional Hospital, Durham, North Carolina, United States|Duke University Hospital, Durham, North Carolina, United States|Durham VA Medical Center, Durham, North Carolina, United States|Duke Raleigh Hospital, Raleigh, North Carolina, United States"	https://ClinicalTrials.gov/show/NCT04335552
747	NCT04328961	Hydroxychloroquine for COVID-19 Post-exposure Prophylaxis (PEP)	Recruiting	No Results Available	COVID-19|Corona Virus Infection|SARS (Severe Acute Respiratory Syndrome)|SARS-CoV-2	Drug: Hydroxychloroquine Sulfate|Drug: Ascorbic Acid	Phase 2|Phase 3	Interventional	"University of California Los Angeles, Los Angeles, California, United States|Tulane, New Orleans, Louisiana, United States|University of Maryland, Baltimore, Baltimore, Maryland, United States|Boston University, Boston, Massachusetts, United States|NYU Langone Health, New York, New York, United States|SUNY Upstate Medical University, Syracuse, New York, United States|University of Washington, Coordinating Center, Seattle, Washington, United States|UW Virology Research Clinic, Seattle, Washington, United States"	https://ClinicalTrials.gov/show/NCT04328961
748	NCT04425733	MK-5475 in Participants With Hypoxemia Due to COVID-19 Pneumonia (MK-5475-009)	Not yet recruiting	No Results Available	Coronavirus Disease 2019 (COVID-19)|Pneumonia|Hypoxemia	Drug: MK-5475|Drug: Placebo	Phase 1	Interventional		https://ClinicalTrials.gov/show/NCT04425733
749	NCT04405999	Prevention of Infection and Incidence of COVID-19 in Medical Personnel Assisting Patients With New Coronavirus Disease	Recruiting	No Results Available	Increased Risk of SARS-CoV-2 Infection	Drug: Bromhexine Hydrochloride	Phase 4	Interventional	"Almazov National Medical Research Centre, Saint Petersburg, Russian Federation"	https://ClinicalTrials.gov/show/NCT04405999
750	NCT04450004	"Safety, Tolerability and Immunogenicinity of a Coronavirus-Like Particle COVID-19 Vaccine in Adults Aged 18-55 Years."	Not yet recruiting	No Results Available	SARS-CoV 2	Biological: Intramuscular Vaccine	Phase 1	Interventional		https://ClinicalTrials.gov/show/NCT04450004
751	NCT04400799	Enoxaparin for Primary Thromboprophylaxis in Ambulatory Patients With COVID-19	Not yet recruiting	No Results Available	"COVID-19|Pulmonary Embolism, Deep Vein Thrombosis"	Drug: Enoxaparin 40Mg/0.4Ml Inj Syringe 0.4Ml	Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04400799
752	NCT04369066	"COVID-19 Study of the Serological Response Against the Severe Acute Respiratory Syndrome (SARS) Coronavirus 2 (CoV-2) Virus in 2 Types of Employees, Hospital and Non-hospital, at Institute Curie"	Recruiting	No Results Available	Volunteers From the Institute Curie Staff Who Are Not Showing Active SARS-CoV-2 Infection	Diagnostic Test: Blood samples (collection of 5 mL of blood in a dry tube)|Diagnostic Test: Nasopharyngeal swabs	Not Applicable	Interventional	"Institut Curie, Paris, France"	https://ClinicalTrials.gov/show/NCT04369066
753	NCT04344184	Early Infusion of Vitamin C for Treatment of Novel COVID-19 Acute Lung Injury (EVICT-CORONA-ALI)	Not yet recruiting	No Results Available	"COVID-19|Lung Injury, Acute"	Drug: L-ascorbic acid|Other: Placebo	Phase 2	Interventional	"Hunter Holmes McGuire VA Medical Center, Richmond, Virginia, United States|Virginia Commonwealth University, Richmond, Virginia, United States"	https://ClinicalTrials.gov/show/NCT04344184
754	NCT04338698	"Hydroxychloroquine, Oseltamivir and Azithromycin for the Treatment of COVID-19 Infection: An RCT"	Not yet recruiting	No Results Available	COVID 19	Drug: Hydroxychloroquine|Drug: Oseltamivir|Drug: Azithromycin	Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04338698
755	NCT04345848	Preventing COVID-19 Complications With Low- and High-dose Anticoagulation	Recruiting	No Results Available	COVID|Sars-CoV2	Drug: Enoxaparin	Phase 3	Interventional	"Geneva University Hospitals, Geneva, Switzerland"	https://ClinicalTrials.gov/show/NCT04345848
756	NCT04366791	Radiation Eliminates Storming Cytokines and Unchecked Edema as a 1-Day Treatment for COVID-19	Recruiting	No Results Available	Pneumonia|Coronavirus Infection in 2019 (COVID-19)|Severe Acute Respiratory Syndrome (SARS) Pneumonia	Radiation: Low Dose Radiation Therapy	Phase 1|Phase 2	Interventional	"Emory University Hospital Midtown/Winship Cancer Institute, Atlanta, Georgia, United States"	https://ClinicalTrials.gov/show/NCT04366791
757	NCT04435587	Ivermectin vs Combined Hydroxychloroquine and Antiretroviral Drugs (ART) Among Asymptomatic COVID-19 Infection	Not yet recruiting	No Results Available	Asymptomatic Infections|SARS-CoV2 Infection	Drug: Ivermectin Pill|Drug: Combined ART/hydroxychloroquine	Phase 4	Interventional	"Siriraj Hospital, Bangkok Noi, Bangkok, Thailand"	https://ClinicalTrials.gov/show/NCT04435587
758	NCT04455958	Lopinavir/Ritonavir for the Treatment of COVID-19 Positive Patients With Cancer and Immune Suppression in the Last Year	Not yet recruiting	No Results Available	Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|Symptomatic COVID-19 Infection Laboratory-Confirmed	Drug: Lopinavir/Ritonavir|Drug: Placebo Administration|Other: Questionnaire Administration	Phase 2	Interventional	"OHSU Knight Cancer Institute, Portland, Oregon, United States"	https://ClinicalTrials.gov/show/NCT04455958
759	NCT04398147	Phase I/II Clinical Trial of Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector) in Canada	Not yet recruiting	No Results Available	COVID-19	Biological: Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector)|Biological: Placebo	Phase 1|Phase 2	Interventional	"Canadian Center for Vaccinology, Halifax, Canada"	https://ClinicalTrials.gov/show/NCT04398147
760	NCT04407286	Vitamin D Testing and Treatment for COVID 19	Recruiting	No Results Available	Covid 19|Vitamin D Deficiency	Dietary Supplement: Vitamin D3	Phase 1	Interventional	"Arizona State University, Tempe, Arizona, United States"	https://ClinicalTrials.gov/show/NCT04407286
761	NCT04372680	WeanINg From Mechanical Ventilation for ARDS CovId-19 Patients Guided by Combined Thoracic UltraSound	Recruiting	No Results Available	"COVID-19|ARDS, Human|Mechanical Ventilation"	Diagnostic Test: CTUS examination	Not Applicable	Interventional	"CHU de LIMOGES, Limoges, France|CHU de TOULOUSE, Toulouse, France"	https://ClinicalTrials.gov/show/NCT04372680
762	NCT04357366	suPAR-guided Anakinra Treatment for Validation of the Risk and Management of Respiratory Failure by COVID-19 (SAVE)	Recruiting	No Results Available	COVID-19|Virus Diseases|Corona Virus Infection|Lower Respiratory Tract Infection Viral	Drug: Anakinra|Drug: trimethoprim/sulfamethoxazole	Phase 2	Interventional	"COVID-19 Department, General Hospital of Attica SISMANOGLEIO-AMALIA FLEMING, Marousi, Athens, Greece|2nd Department of Internal Medicine, University General Hospital of Alexandroupolis, Alexandroupolis, Greece|Department of Internal Medicine, I PAMMAKARISTOS Hospital, Athens, Greece|1st Department of Internal Medicine, General Hospital of Athens G. GENNIMATAS, Athens, Greece|1st University Department of Internal Medicine, General Hospital of Athens LAIKO, Athens, Greece|2nd University Department of Internal Medicine, IPPOKRATEION General Hospital of Athens, Athens, Greece|3rd University Department of Internal Medicine, General Hospital of Chest Diseases of Athens I SOTIRIA, Athens, Greece|Department of Internal Medicine, General Hospital of Chest Diseases of Athens I SOTIRIA, Athens, Greece|Department of Clinical Therapeutics, ALEXANDRA General Hospital of Athens, Athens, Greece|Department of Infectious Diseases, General Hospital of Kerkira, Corfu, Greece|1st Department of Internal Medicine, General University Hospital of Ioannina, Ioánnina, Greece|Department of Internal Medicine, University General Hospital of Larissa, Larissa, Greece|Department of Internal Medicine, University General Hospital of Patras PANAGIA I VOITHIA, Patra, Greece|1st Department of Internal Medicine, AHEPA University General Hospital of Thessaloniki, Thessaloníki, Greece"	https://ClinicalTrials.gov/show/NCT04357366
763	NCT04369599	Trans Thoracic Manipulation of Ventilation/Perfusion: the V/Q Vest for COVID-19	Enrolling by invitation	No Results Available	Acute Respiratory Distress Syndrome|COVID-19	Device: V/Q Vest	Not Applicable	Interventional	"Emory University Hospital, Atlanta, Georgia, United States"	https://ClinicalTrials.gov/show/NCT04369599
764	NCT04401293	Full Dose Heparin Vs. Prophylactic Or Intermediate Dose Heparin in High Risk COVID-19 Patients	Recruiting	No Results Available	Sars-CoV2|COVID	Drug: Enoxaparin|Drug: Prophylactic/Intermediate Dose Enoxaparin	Phase 3	Interventional	"Beth Israel Newark, Newark, New Jersey, United States|Southside Hospital, Bay Shore, New York, United States|Huntington Hospital, Huntington, New York, United States|Lenox Hill Hospital, New York, New York, United States|Long Island Jewish Medical Center, Queens, New York, United States|Staten Island University Hospital, Staten Island, New York, United States"	https://ClinicalTrials.gov/show/NCT04401293
765	NCT04365517	The Effect of Sitagliptin Treatment in COVID-19 Positive Diabetic Patients	Not yet recruiting	No Results Available	"Covid19|Diabetes Mellitus, Type 2|CKD"	Drug: Sitagliptin	Phase 3	Interventional	"ASST FBF Sacco, Milan, Italy"	https://ClinicalTrials.gov/show/NCT04365517
766	NCT04412057	Clinical Trial to Evaluate CERC-002 in Adults With COVID-19 Pneumonia and Acute Lung Injury	Recruiting	No Results Available	COVID-19 Pneumonia|Acute Lung Injury|ARDS	Drug: CERC-002|Drug: Placebo	Phase 2	Interventional	"Cape Fear Valley Medical Center, Fayetteville, North Carolina, United States|Carolina Institute for Clinical Research, LLC, Fayetteville, North Carolina, United States"	https://ClinicalTrials.gov/show/NCT04412057
767	NCT04351516	Test and Treat COVID 65plus+	Recruiting	No Results Available	SARS-CoV 2|COVID-19	Drug: Hydroxychloroquine|Other: Placebo	Phase 2|Phase 3	Interventional	"Uniklinikum Tuebingen, Tuebingen, Germany|Uniklinikum Ulm, Ulm, Germany"	https://ClinicalTrials.gov/show/NCT04351516
768	NCT04384588	COVID19-Convalescent Plasma for Treating Patients With Active Symptomatic COVID 19 Infection (FALP-COVID)	Recruiting	No Results Available	COVID-19 Infection|Cancer Patients|General Population	Biological: Convalescent Plasma from COVID-19 donors	Phase 2|Phase 3	Interventional	"Fundacion Arturo Lopez Perez, Providencia, Santiago, Chile"	https://ClinicalTrials.gov/show/NCT04384588
769	NCT04401410	Anti-SARS Cov-2 T Cell Infusions for COVID 19	Not yet recruiting	No Results Available	SARS-CoV 2|Viral Infection|COVID 19	Biological: Partially HLA-matched Virus Specific T cells (VSTs)	Phase 1	Interventional	"Houston Methodist Hospital, Houston, Texas, United States"	https://ClinicalTrials.gov/show/NCT04401410
770	NCT04357860	Clinical Trial of Sarilumab in Adults With COVID-19	Not yet recruiting	No Results Available	SARS-CoV 2|SARS	Drug: Sarilumab 200 MG/1.14 ML Subcutaneous Solution [KEVZARA]|Drug: Sarilumab 400 MG/2.28 ML Subcutaneous Solution [KEVZARA]|Drug: Best available treatment	Phase 2	Interventional	"Hospital Universitario Reina Sofía, Córdoba, Spain"	https://ClinicalTrials.gov/show/NCT04357860
771	NCT04366063	Mesenchymal Stem Cell Therapy for SARS-CoV-2-related Acute Respiratory Distress Syndrome	Recruiting	No Results Available	Covid-19	Biological: Cell therapy protocol 1|Biological: Cell therapy protocol 2	Phase 2|Phase 3	Interventional	"Royan Institute, Tehran, Iran, Islamic Republic of"	https://ClinicalTrials.gov/show/NCT04366063
772	NCT04311697	Intravenous Aviptadil for Critical COVID-19 With Respiratory Failure	Recruiting	No Results Available	Critical COVID-19 With Respiratory Failure|Acute Respiratory Distress Syndrome (ARDS)|Corona Virus Infection|Acute Lung Injury	Drug: Aviptadil by intravenous infusion + standard of care|Drug: Normal Saline Infusion + standard of care	Phase 2	Interventional	"University of California - Irvine, Irvine, California, United States|Miller School of Medicine / University of Miami Medical Center, Miami, Florida, United States|University of Louisville, Louisville, Kentucky, United States|Robert I Grossman School of Medicine / NYU Langone Medical Center, New York, New York, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States|Houston Methodist Hospital, Houston, Texas, United States|Rambam Health Care Campus, Haifa, Israel"	https://ClinicalTrials.gov/show/NCT04311697
773	NCT04354441	Effect of Hydroxychloroquine in COVID-19 Positive Pregnant Women	Withdrawn	No Results Available	COVID-19|SARS-CoV-2|Pregnant Women|Hydroxychloroquine	Drug: hydroxychloroquine sulfate 200 MG|Drug: Placebo oral tablet	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04354441
774	NCT04405076	"Dose-Confirmation Study to Evaluate the Safety, Reactogenicity, and Immunogenicity of mRNA-1273 COVID-19 Vaccine in Adults Aged 18 Years and Older"	Recruiting	No Results Available	SARS-CoV-2	Biological: Biological: mRNA-1273: 50 mcg|Other: Placebo|Biological: Biological: mRNA-1273: 100 mcg	Phase 2	Interventional	"Meridian Clinical Research, Savannah, Georgia, United States|Heartland Research Associates, Newton, Kansas, United States|Heartland Research Associates, Kansas City, Missouri, United States|Meridian Clinical Research, Norfolk, Nebraska, United States|Meridian Clinical Research, Omaha, Nebraska, United States|Trial Management Associates, Wilmington, North Carolina, United States|Meridian Clinical Research, Dakota Dunes, South Dakota, United States|Benchmark Research, Austin, Texas, United States|Benchmark Research, San Angelo, Texas, United States|Advanced Clinical Research/Velocity, West Jordan, Utah, United States"	https://ClinicalTrials.gov/show/NCT04405076
775	NCT04356495	Treatments to Decrease the Risk of Hospitalization or Death in Elderly Outpatients With Symptomatic SARS-CoV-2 Infection (COVID-19)	Recruiting	No Results Available	Corona Virus Infection|Sars-CoV2	Dietary Supplement: Vitamins|Drug: Imatinib|Drug: Favipiravir|Drug: Telmisartan	Phase 3	Interventional	"Bordeaux university Hospital, Bordeaux, France"	https://ClinicalTrials.gov/show/NCT04356495
776	NCT04383613	Prone Positioning for Patients on General Medical Wards With COVID19	Recruiting	No Results Available	Covid-19|ARDS	Other: Prone positioning	Not Applicable	Interventional	"William Osler Health System, Brampton, Ontario, Canada|William Osler Health System, Etobicoke, Ontario, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada|Sinai Health System, Toronto, Ontario, Canada|Toronto General Hospital, Toronto, Ontario, Canada|Toronto Western Hospital, Toronto, Ontario, Canada"	https://ClinicalTrials.gov/show/NCT04383613
777	NCT04374019	Novel Agents for Treatment of High-risk COVID-19 Positive Patients	Recruiting	No Results Available	COVID|Sars-CoV2	Drug: Hydroxychloroquine|Drug: Hydroxychloroquine and Azithromycin|Drug: Hydroxychloroquine and Ivermectin|Drug: Camostat Mesilate	Phase 2	Interventional	"University of Kentucky Markey Cancer Center, Lexington, Kentucky, United States"	https://ClinicalTrials.gov/show/NCT04374019
778	NCT04385901	Long Term Functional Outcomes of COVID-19 Patients Treated by Rehabilitation Services viaTelehealth	Recruiting	No Results Available	SARS-CoV 2|SARS Pneumonia	Behavioral: Therapy Intervention	Not Applicable	Interventional	"Missouri Orthopedic Institute, Columbia, Missouri, United States"	https://ClinicalTrials.gov/show/NCT04385901
779	NCT04346667	Post-Exposure Prophylaxis for Asymptomatic SARS-CoV-2 COVID-19 Patients With choloroquinE Compounds	Recruiting	No Results Available	SARS-CoV-2|Coronavirus Infection|Asymptomatic Condition|COVID-19	Drug: Hydroxychloroquine Sulfate Regular dose|Drug: Hydroxychloroquine Sulfate Loading Dose|Drug: Chloroquine|Drug: Placebo	Phase 4	Interventional	"Expo Covid Center, Lahore, Punjab, Pakistan|Mayo Hospital, Lahore, Punjab, Pakistan|Pakistan Kidney and Liver Institute, Lahore, Punjab, Pakistan"	https://ClinicalTrials.gov/show/NCT04346667
780	NCT04360759	Chloroquine Outpatient Treatment Evaluation for HIV-Covid-19	Not yet recruiting	No Results Available	Covid-19|HIV	Drug: Chloroquine or hydroxychloroquine	Phase 3	Interventional	"Khayelitsha Hospital, Cape Town, Western Cape, South Africa|Groote Schuur Hospital, Cape Town, Western Cape, South Africa"	https://ClinicalTrials.gov/show/NCT04360759
781	NCT04278963	Yinhu Qingwen Decoction for the Treatment of Mild / Common CoVID-19	Suspended	No Results Available	CoVID-19|Chinese Medicine	Drug: YinHu QingWen Decoction|Drug: YinHu QingWen Decoction(low dose)|Other: Chinese medicine treatment|Other: standard western medicine treatment	Phase 2|Phase 3	Interventional	"Jingzhou Hospital of Traditional Chinese Medicine, Jingzhou, Hubei, China|Wuhan Leishenshan (Thunder God Mountain) Hospital/The First Affiliated Hospital of Dalian Medical University, Wuhan, Hubei, China|Xiangyang Hospital of Traditional Chinese Medicine, Xiangyang, Hubei, China"	https://ClinicalTrials.gov/show/NCT04278963
782	NCT04410510	P2Et Extract in the Symptomatic Treatment of Subjects With COVID-19	Not yet recruiting	No Results Available	COVID|Coronavirus Infection|SARS-CoV 2|COVID19	Drug: P2Et (Caesalpinia spinosa extract)|Other: Placebo	Phase 2|Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04410510
783	NCT04379492	A Study of Hydroxycholoroquine Compared to Placebo as Treatment for People With COVID-19	Recruiting	No Results Available	COVID-19|COVID19|Sars-CoV2|SARS-Cov-2	Drug: Hydroxychloroquine|Other: Placebo	Phase 2	Interventional	"Memorial Sloan - Kettering Cancer Center, New York, New York, United States"	https://ClinicalTrials.gov/show/NCT04379492
784	NCT04347226	Anti-Interleukin-8 (Anti-IL-8) for Patients With COVID-19	Recruiting	No Results Available	Solid Tumor|Sars-CoV2|Hematological Malignancy	Drug: BMS-986253	Phase 2	Interventional	"Columbia University Irving Medical Center, New York, New York, United States"	https://ClinicalTrials.gov/show/NCT04347226
785	NCT04328012	COVID MED Trial - Comparison Of Therapeutics for Hospitalized Patients Infected With SARS-CoV-2	Recruiting	No Results Available	SARS-CoV-2 Infection	Drug: lopinavir/ritonavir|Drug: Hydroxychloroquine Sulfate|Drug: Losartan|Drug: Placebos	Phase 2|Phase 3	Interventional	"Bassett Medical Center, Cooperstown, New York, United States"	https://ClinicalTrials.gov/show/NCT04328012
786	NCT04303507	Chloroquine/ Hydroxychloroquine Prevention of Coronavirus Disease (COVID-19) in the Healthcare Setting	"Active, not recruiting"	No Results Available	COVID19|Coronavirus|Acute Respiratory Illnesses	Drug: Chloroquine or Hydroxychloroquine|Drug: Placebo	Not Applicable	Interventional	"Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand|Brighton and Sussex University Hospitals NHS Trust, Brighton, United Kingdom|Oxford University Hospital NHS Foundation Trust, Oxford, United Kingdom"	https://ClinicalTrials.gov/show/NCT04303507
787	NCT04347941	Awake Prone Positioning to Reduce Invasive VEntilation in COVID-19 Induced Acute Respiratory failurE	Not yet recruiting	No Results Available	"ARDS, Human|Mechanical Ventilation Complication|COVID19"	Procedure: Prone Positioning|Procedure: Standard of care.	Not Applicable	Interventional	"Galway University Hospital, Galway, Ireland"	https://ClinicalTrials.gov/show/NCT04347941
788	NCT04356482	CONVALESCENT PLASMA FOR ILL PATIENTS BY COVID-19	Recruiting	No Results Available	COVID-19|SARS-CoV 2|Convalescence|Plasma|Doses	Biological: convalescent plasma	Phase 1|Phase 2	Interventional	"Hospital Del Issste Regional En Guadalajara Jalisco, Guadalajara, Jalisco, Mexico|Secretaria de Salud Del Estado de Sonora, Hospital General Del Estado, Hermosillo, Sonora, Mexico|Hospital Central Norte Pemex, Mexico City, Mexico"	https://ClinicalTrials.gov/show/NCT04356482
789	NCT04357028	Measles Vaccine in HCW	Recruiting	No Results Available	Covid19	Drug: Measles-Mumps-Rubella Vaccine|Drug: Placebos	Phase 3	Interventional	"Cairo University Hospital, Cairo, Egypt"	https://ClinicalTrials.gov/show/NCT04357028
790	NCT04430608	Remote Continues Glucose Monitoring During the COVID-19 Pandemic in Quarantined Hospitalized Patients	Recruiting	No Results Available	Diabetes|Covid-19|Infection	Device: Dexcom G6	Not Applicable	Interventional	"Nordsjællands Hospital, Hillerød, Denmark"	https://ClinicalTrials.gov/show/NCT04430608
791	NCT04420247	Efficacy of Chloroquine or Hydroxychloroquine in Treating Pneumonia Caused by SARS-Cov-2 - COVID-19	Recruiting	No Results Available	COVID|COVID-19|SARS-CoV 2|Coronavirus|Corona Virus Infection	Drug: Chloroquine|Drug: Hydroxychloroquine|Other: standard care	Phase 3	Interventional	"Centro de Estudos e Pesquisa em Emergencias Clinicas e Terapia Intensiva, Curitiba, Parana, Brazil"	https://ClinicalTrials.gov/show/NCT04420247
792	NCT04414267	Bacillus Calmette-guérin Vaccination to Prevent COVID-19	Recruiting	No Results Available	COVID-19|Virus Diseases|Corona Virus Infection|Coronary Heart Disease|Chronic Obstructive Pulmonary Disease	Biological: BCG vaccine|Biological: Placebo	Phase 4	Interventional	"General Hospital of Argolida - Nafplion Unit, Náfplio, Argos, Greece|2nd Department of Internal Medicine, University General Hospital of Alexandroupolis, Alexandroupolis, Greece|1st Department of Internal Medicine, General Hospital of Athens G. GENNIMATAS, Athens, Greece|2nd University Department of Internal Medicine, IPPOKRATEION General Hospital of Athens, Athens, Greece|3rd University Department of Internal Medicine, General Hospital of Chest Diseases of Athens I SOTIRIA, Athens, Greece|4th Department of Internal Medicine, ""Attikon"" University Hospital, National and Kapodistrian University of Athens, Medical School, Athens, Greece|1st Department of Internal Medicine, General University Hospital of Ioannina, Ioánnina, Greece|General Hospital of Korinthos, Kórinthos, Greece|Department of Internal Medicine, Patras University Hospital, Patras, Greece|General Hospital of Ptolemaida MPODOSAKEIO, Ptolemaḯda, Greece|1st Department of Internal Medicine, AHEPA University General Hospital of Thessaloniki, Thessaloníki, Greece|General Hospital of Imathia - Veria Unit, Véria, Greece"	https://ClinicalTrials.gov/show/NCT04414267
793	NCT04365985	Study of Immunomodulation Using Naltrexone and Ketamine for COVID-19	Recruiting	No Results Available	COVID-19|Acute Respiratory Distress Syndrome|Severe Acute Respiratory Syndrome (SARS)|Coronavirus Infections	Drug: Naltrexone|Drug: Ketamine|Other: Placebo	Phase 2	Interventional	"William Beaumont Hospital, Royal Oak, Michigan, United States"	https://ClinicalTrials.gov/show/NCT04365985
794	NCT04335032	EPA-FFA to Treat Hospitalised Patients With COVID-19 (SARS-CoV-2)	Not yet recruiting	No Results Available	SARS-CoV-2	Drug: Eicosapentaenoic acid gastro-resistant capsules	Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04335032
795	NCT04273763	Evaluating the Efficacy and Safety of Bromhexine Hydrochloride Tablets Combined With Standard Treatment/ Standard Treatment in Patients With Suspected and Mild Novel Coronavirus Pneumonia (COVID-19)	"Active, not recruiting"	No Results Available	Novel Coronavirus Pneumonia|2019-nCoV	Drug: Bromhexine Hydrochloride Tablets|Drug: Arbidol Hydrochloride Granules|Drug: Recombinant Human Interferon α2b Spray	Not Applicable	Interventional	"The Second AffIliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China"	https://ClinicalTrials.gov/show/NCT04273763
796	NCT04453488	Clinical Trial to Evaluate the Efficacy of RUTI® Against SARS- COV-2 Infection in Healthcare Workers	Not yet recruiting	No Results Available	Covid-19|Sars-CoV2	Biological: RUTI® vaccine|Biological: Placebo	Not Applicable	Interventional	"Hospital Universitari Germans Trias i Pujol UBP Riscos Laborals, Badalona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain"	https://ClinicalTrials.gov/show/NCT04453488
797	NCT04438070	COVID Screening Strategies in Homeless Shelters	Recruiting	No Results Available	COVID-19	Diagnostic Test: COVID-19 Swab	Not Applicable	Interventional	"Various Homeless Shelters, Hamilton, Ontario, Canada"	https://ClinicalTrials.gov/show/NCT04438070
798	NCT04389580	Combination Therapy With Isotretinoin and Tamoxifen Expected to Provide Complete Protection Against Severe Acute Respiratory Syndrome Coronavirus	Not yet recruiting	No Results Available	COVID-19	Drug: Drug: Isotretinoin plus Tamoxifen|Drug: Aerosolized Isotretinoin plus Tamoxifen	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04389580
799	NCT04384445	Organicell Flow for Patients With COVID-19	Not yet recruiting	No Results Available	Corona Virus Infection|COVID-19|SARS|Acute Respiratory Distress Syndrome	Biological: Organicell Flow|Other: Placebo	Phase 1|Phase 2	Interventional	"Landmark Hospital, Naples, Florida, United States|Landmark Hospital, Athens, Georgia, United States"	https://ClinicalTrials.gov/show/NCT04384445
800	NCT04357106	COPLA Study: Treatment of Severe Forms of COronavirus Infection With Convalescent PLAsma	Recruiting	No Results Available	COVID-19	Biological: Convalescent plasma	Phase 2	Interventional	"Centro de Hematología y Medicina Interna, Puebla, Mexico"	https://ClinicalTrials.gov/show/NCT04357106
801	NCT04352946	HEalth Care Worker pROphylaxis Against COVID-19: The HERO Trial	Not yet recruiting	No Results Available	Prophylaxis|COVID-19|Health Care Worker|Hydroxychloroquine	Drug: Hydroxychloroquine Pre-Exposure Prophylaxis|Drug: Placebo oral tablet	Phase 3	Interventional	"The New York Center for Travel and Tropical Medicine, New York, New York, United States"	https://ClinicalTrials.gov/show/NCT04352946
802	NCT04338009	Elimination or Prolongation of ACE Inhibitors and ARB in Coronavirus Disease 2019	Enrolling by invitation	No Results Available	COVID-19	Other: Discontinuation of ARB/ACEI|Other: Continuation of ARB/ACEI	Not Applicable	Interventional	"University of Pennsylvania Health System, Philadelphia, Pennsylvania, United States"	https://ClinicalTrials.gov/show/NCT04338009
803	NCT04334265	Efficacy and Safety of Anluohuaxian in the Treatment of Rehabilitation Patients With Corona Virus Disease 2019	Recruiting	No Results Available	COVID-19	Drug: Anluohuaxian	Not Applicable	Interventional	"The Second People's Hospital of Fuyang, Fuyang, Anhui, China|Ezhou Central Hospital, Wuhan, Hubei, China|Huoshenshan Hospital of Wuhan, Wuhan, Hubei, China|Jinyintan Hospital of Wuhan, Wuhan, Hubei, China|Tongji Hospital of Huazhong University of Science and Technology, Wuhan, Hubei, China|West Hospital Union Hospital Huazhong University of Science and Technology, Wuhan, Hubei, China|Wuhan Pulmonary Hospital, Wuhan, Hubei, China|Zhongnan Hospital of Wuhan University, Wuhan, Hubei, China|Wenzhou Medical University Affiliated First Hospital, Wenzhou, Zhejiang, China"	https://ClinicalTrials.gov/show/NCT04334265
804	NCT04334148	Healthcare Worker Exposure Response and Outcomes of Hydroxychloroquine	Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine|Drug: Placebo oral tablet	Phase 3	Interventional	"University of Florida, Gainesville, Florida, United States|University of Florida Jacksonville, Jacksonville, Florida, United States|University of South Florida, Tampa, Florida, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|University Medical Center New Orleans, New Orleans, Louisiana, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Johns Hopkins, Baltimore, Maryland, United States|Mayo Clinic Hospital Rochester, Rochester, Minnesota, United States|University of Missouri-Columbia, Columbia, Missouri, United States|Hospital for Special Surgery, New York, New York, United States|Weill Cornell Medicine, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Clinical Trials Center of Middle Tennessee, Franklin, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Baylor Scott & White Medical Center-Temple, Temple, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States|Marshfield Clinic Health System, Marshfield, Wisconsin, United States"	https://ClinicalTrials.gov/show/NCT04334148
